음식점명,운영시간,휴무일,주소,연락처,최종분류,분류,별점,리뷰수,시설,메뉴,월요일 영업 시작시간,월요일 영업 종료시간,월요일 라스트오더 시간,월요일 휴게 시작시간,월요일 휴게 종료시간,화요일 영업 시작시간,화요일 영업 종료시간,화요일 라스트오더 시간,화요일 휴게 시작시간,화요일 휴게 종료시간,수요일 영업 시작시간,수요일 영업 종료시간,수요일 라스트오더 시간,수요일 휴게 시작시간,수요일 휴게 종료시간,목요일 영업 시작시간,목요일 영업 종료시간,목요일 라스트오더 시간,목요일 휴게 시작시간,목요일 휴게 종료시간,금요일 영업 시작시간,금요일 영업 종료시간,금요일 라스트오더 시간,금요일 휴게 시작시간,금요일 휴게 종료시간,토요일 영업 시작시간,토요일 영업 종료시간,토요일 라스트오더 시간,토요일 휴게 시작시간,토요일 휴게 종료시간,일요일 영업 시작시간,일요일 영업 종료시간,일요일 라스트오더 시간,일요일 휴게 시작시간,일요일 휴게 종료시간,태그_예약_배달_포장,위도,경도,이미지파일명,상세페이지주소
메타45카페,영업시간 매일 11:00 ~ 22:00,공휴일 11:00 ~ 22:00,세종특별자치시 나성북1로 51 나릿재마을6단지 601동 45층 4501호 (우)30128,044-862-4502 대표번호,카페,카페,3.9,630,WIFI 동물출입금지 주차 휠체어사용없음 놀이방시설 없음 흡연실시설 없음,"밀크티: 7000
자몽 에이드: 8000
오렌지 에이드: 8000
레몬 에이드: 8000
1837",11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,예약불가 배달불가 포장가능,36.4920475,127.2611256,446.메타45카페.png,https://place.map.kakao.com/1647717413
차이킹 북경오리,영업시간 매일 11:30 ~ 22:00 월~금 휴게시간 14:30 ~ 16:30,휴무일 설당일 추석당일,세종특별자치시 나성남로 7-16 신영드림타워 2층 201~203호 (우)30129,044-865-0789 대표번호,중식,중국요리,4.1,56,주차,"수제찐만두 (10pcs): 9000
양장피: 32000
오향족발냉채: 36000
미니불도장 (1인): 60000
삼선샥스핀: 58000",11:30,22:00,정보 없음,14:30,16:30,11:30,22:00,정보 없음,14:30,16:30,11:30,22:00,정보 없음,14:30,16:30,11:30,22:00,정보 없음,14:30,16:30,11:30,22:00,정보 없음,14:30,16:30,11:30,22:00,정보 없음,정보 없음,정보 없음,11:30,22:00,정보 없음,정보 없음,정보 없음,#안심식당 #가족모임 #상견례 #점심식사 #친목모임 #코스요리 #회식장소,36.4824453,127.2621028,447.차이킹 북경오리.jpg,https://place.map.kakao.com/451331774
온기,영업시간 월수~일 11:00 ~ 21:00 월수~일 라스트오더 ~ 19:30,휴무일 화요일,세종특별자치시 나성북로 47 나릿재마을4단지 b119 120 137호 (우)30128,044-998-6577 대표번호,양식,양식,3.8,308,주차시설 없음,"뽈뽀포테이토샐러드: 21000
치즈쉬림프오믈렛: 17000
클래식브런치: 17000
단호박치킨크림스튜: 18000
훈제연어 오픈 샌드위치: 15000 ",11:00,21:00,19:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,21:00,19:30,정보 없음,정보 없음,11:00,21:00,19:30,정보 없음,정보 없음,11:00,21:00,19:30,정보 없음,정보 없음,11:00,21:00,19:30,정보 없음,정보 없음,11:00,21:00,19:30,정보 없음,정보 없음,"#안심식당 #분위기좋은 #브런치카페 #소개팅
예약가능 배달가능 포장가능",36.4909165,127.2616282,448.온기.png,https://place.map.kakao.com/391720570
이윽고,영업시간 월~토 11:00 ~ 21:00 월~토 휴게시간 15:00 ~ 17:00,휴무일 일요일,세종특별자치시 나성북1로 22 디펠리체 201~202호 (우)30128,044-417-1559 대표번호,한식,육류고기,4.7,112,주차,"이윽고 한우 모듬 (300g) (2인): 129000
한우 궁중불고기: 23000
이윽고 한우 생갈비 (180~200g): 82000
이윽고 안창살 (130g): 77000
특안심 (150g): 62000",11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,11:00,21:00,정보 없음,15:00,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,"#가족모임 #가족행사 #상견례 #점심특선 #친목모임
예약가능",36.4910836,127.2587189,449.이윽고.jpg,https://place.map.kakao.com/970790279
박씨부엌,영업시간 화~일 11:00 ~ 22:00,휴무일 월요일,세종특별자치시 나성북1로 12 메가타워2 2층 205호 (우)30128,044-866-2458 대표번호,한식,한식,3.8,231,주차,"갈치조림: 16000
고등어조림: 16000
보리굴비: 20000
간장게장: 23000
양념게장: 16000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4909896,127.2576193,450.박씨부엌.jpg,https://place.map.kakao.com/1618125156
뇨끼온떨스데이,영업시간 수~일 11:30 ~ 21:30 수~일 라스트오더 ~ 13:30 수~일 휴게시간 15:00 ~ 18:00,휴무일 월화요일,세종특별자치시 나성북1로 51 802동 1층 124호 (우)30128,연락처 정보 없음,양식,이탈리안,3.9,181,주차,"히비스커스토마토샐러드: 13000
머쉬룸아란치니: 14000
초리조토마토감자뇨끼: 19000
트러플버섯감자뇨끼: 21000
오리라구버섯뇨께티: 23000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:30,21:30,13:30,15:00,18:00,11:30,21:30,13:30,15:00,18:00,11:30,21:30,13:30,15:00,18:00,11:30,21:30,13:30,15:00,18:00,11:30,21:30,13:30,15:00,18:00,예약가능,36.4918577,127.2620376,451.뇨끼온떨스데이.png,https://place.map.kakao.com/1228313470
파리바게뜨 세종나성점,영업시간 매일 07:00 ~ 24:00,공휴일 07:00 ~ 24:00,세종특별자치시 나성북1로 22 디펠리체 107호 (우)30128,044-905-1152 대표번호,제과점,파리바게뜨,3.9,10,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"해피스마일 케익: 25000
쫀득흑당호떡: 2900
꽈배기도넛: 2300
인생 단팥생크림빵: 3100
인생 소보로생크림빵: 3100",7:00,0:00,정보 없음,정보 없음,정보 없음,7:00,0:00,정보 없음,정보 없음,정보 없음,7:00,0:00,정보 없음,정보 없음,정보 없음,7:00,0:00,정보 없음,정보 없음,정보 없음,7:00,0:00,정보 없음,정보 없음,정보 없음,7:00,0:00,정보 없음,정보 없음,정보 없음,7:00,0:00,정보 없음,정보 없음,정보 없음,"#나성동빵집 #베이커리카페 #샐러드샌드위치 #생일케익 #파바로터리 #이동약자접근 #카카오페이 #제로페이
예약가능 배달가능 포장가능",36.4910836,127.2587189,452.파리바게뜨 세종나성점.jpg,https://place.map.kakao.com/871530089
베이콜로지 빵학개론 세종점,영업시간 매일 00:00 ~ 24:00,공휴일 00:00 ~ 24:00,세종특별자치시 국세청로 32 마크원애비뉴 1층 C111호 (우)30128,0507-1369-3482 대표번호,제과점/카페,제과베이커리,2.9,102,WIFI 주차,"소금빵: 3000
김명란씨: 5500
까눌레보르도: 3000
육쪽통마늘: 6000
롱할라피뇨: 6000",0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,"#베이커리카페 #나성동카페 #세종카페 #24시간카페 #무인카페 #카카오페이
예약가능 포장가능",36.4866244,127.2617293,453.베이콜로지 빵학개론 세종점.jpg,https://place.map.kakao.com/415366666
만재네 세종점,영업시간 월~금 17:00 ~ 01:00 주말 12:00 ~ 01:00 주말 라스트오더 ~ 23:30 주말 휴게시간 14:00 ~ 17:00,휴무일 정보 없음,세종특별자치시 나성로 125-16 스타타워 1층 106107호 (우)30128,070-4647-2519 대표번호,한식,육류고기,2.3,77,주차,"숙성삼겹살: 14000
특목살: 14000
통항정살: 16000
찰가브리살: 16000
간장껍데기: 8000",17:00,1:00,정보 없음,정보 없음,정보 없음,17:00,1:00,정보 없음,정보 없음,정보 없음,17:00,1:00,정보 없음,정보 없음,정보 없음,17:00,1:00,정보 없음,정보 없음,정보 없음,17:00,1:00,정보 없음,정보 없음,정보 없음,12:00,1:00,23:30,14:00,17:00,12:00,1:00,23:30,14:00,17:00,#제로페이,36.4900912,127.2577622,454.만재네 세종점.jpg,https://place.map.kakao.com/1739247615
라스트춘선 세종점,영업시간 월~목일 17:00 ~ 02:00 금토 17:00 ~ 03:00 월~목일 라스트오더 ~ 01:00 금토 라스트오더 ~ 02:00,휴무일 정보 없음,세종특별자치시 나성북1로 22 디펠리체 1층 111112호 (우)30128,연락처 정보 없음,주점업,호프요리주점,4.9,360,시설 정보 없음,"소주: 5000
맥주: 5000
서울의밤: 14000
명랑스컬: 13000
도원결의15: 13000",17:00,2:00,1:00,정보 없음,정보 없음,17:00,2:00,1:00,정보 없음,정보 없음,17:00,2:00,1:00,정보 없음,정보 없음,17:00,2:00,1:00,정보 없음,정보 없음,17:00,3:00,2:00,정보 없음,정보 없음,17:00,3:00,2:00,정보 없음,정보 없음,17:00,2:00,1:00,정보 없음,정보 없음,정보 없음,36.4910836,127.2587189,455.라스트춘선 세종점.png,https://place.map.kakao.com/106727539
어랏오브,영업시간 화~금 11:00 ~ 18:30 주말 11:00 ~ 17:00 화~금 라스트오더 ~ 18:00 주말 라스트오더 ~ 16:30,휴무일 월요일,세종특별자치시 한누리대로 237 한스웰시티 1층 102호 (우)30127,044-867-2757 대표번호,제과점/카페,제과베이커리,5,61,시설 정보 없음,"아메리카노: 3500
카페라떼: 4000
바닐라빈라떼: 4800
악마초코라떼: 5000
로얄캐모마일: 4500",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,18:30,18:00,정보 없음,정보 없음,11:00,18:30,18:00,정보 없음,정보 없음,11:00,18:30,18:00,정보 없음,정보 없음,11:00,18:30,18:00,정보 없음,정보 없음,11:00,17:00,16:30,정보 없음,정보 없음,11:00,17:00,16:30,정보 없음,정보 없음,#베이커리카페 #빈티지분위기 #제로페이,36.4855534,127.2580301,456.어랏오브.jpg,https://place.map.kakao.com/1814154199
인생아구찜 세종점,영업시간 월~목 11:00 ~ 23:45 금토 11:00 ~ 00:30 일 11:00 ~ 23:30,휴무일 정보 없음,세종특별자치시 한누리대로 311 1층 105호 (우)30123,044-865-3910 대표번호,한식,인생아구찜,5,8,시설 정보 없음,"콜라겐아구찜(1인): 23000
콜라겐아구찜(소): 33000
콜라겐아구찜(중): 41000
콜라겐아구찜(대): 49000
살마니아구찜(어린이 가족 추천)(1인): 24000",11:00,23:45,정보 없음,정보 없음,정보 없음,11:00,23:45,정보 없음,정보 없음,정보 없음,11:00,23:45,정보 없음,정보 없음,정보 없음,11:00,23:45,정보 없음,정보 없음,정보 없음,11:00,0:30,정보 없음,정보 없음,정보 없음,11:00,0:30,정보 없음,정보 없음,정보 없음,11:00,23:30,정보 없음,정보 없음,정보 없음,#혼술 #제로페이,36.492113,127.2557955,457.인생아구찜 세종점.jpg,https://place.map.kakao.com/1150001457
소바애 세종나성점,영업시간 월~토 10:00 ~ 20:30 월~토 라스트오더 ~ 20:00 월~토 휴게시간 15:00 ~ 17:00,휴무일 일요일,세종특별자치시 한누리대로 194 세종의아침 1층 117호 (우)30129,010-8846-4619 대표번호,분식,일식,4,32,시설 정보 없음,"메밀물냉면: 10000
메밀비빔냉면: 12000
메밀불물냉면: 11000
메밀불비빔냉면: 13000
나물메밀면: 12000",10:00,20:30,20:00,15:00,17:00,10:00,20:30,20:00,15:00,17:00,10:00,20:30,20:00,15:00,17:00,10:00,20:30,20:00,15:00,17:00,10:00,20:30,20:00,15:00,17:00,10:00,20:30,20:00,15:00,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,#경양식요리 #혼밥,36.4823224,127.2614113,458.소바애 세종나성점.jpg,https://place.map.kakao.com/1439582441
길가옆에누룽지삼계탕 나성점,영업시간 매일 09:30 ~ 20:00 매일 라스트오더 ~ 19:50,휴무일 정보 없음,세종특별자치시 한누리대로 321 SR파크시티 117호 (우)30123,연락처 정보 없음,한식,삼계탕,5,4,시설 정보 없음,"누룽지 속 삼계탕(닭죽): 19000
누룽지 속 능이삼계탕(닭죽): 21000
누룽지'속'삼계탕+왕만두(6개): 25000
누룽지'속'삼계탕+쟁반막국수(1인분): 29000
직화 불 닭발(샐러드포함): 15000",9:30,20:00,19:50,정보 없음,정보 없음,9:30,20:00,19:50,정보 없음,정보 없음,9:30,20:00,19:50,정보 없음,정보 없음,9:30,20:00,19:50,정보 없음,정보 없음,9:30,20:00,19:50,정보 없음,정보 없음,9:30,20:00,19:50,정보 없음,정보 없음,9:30,20:00,19:50,정보 없음,정보 없음,정보 없음,36.4927821,127.2558859,459.길가옆에누룽지삼계탕 나성점.jpg,https://place.map.kakao.com/605350824
카페이노스 세종본점,영업시간 월~금 08:00 ~ 22:00 주말 09:00 ~ 21:00,휴무일 정보 없음,세종특별자치시 한누리대로 249 에스제이타워 1층 112호 (우)30127,연락처 정보 없음,카페/간식,카페,4.2,10,시설 정보 없음,"에스프레소: 3000
아메리카노: 3500
카페라떼: 4200
아포카토: 4600
자몽에이드(차): 4000",8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,9:00,21:00,정보 없음,정보 없음,정보 없음,9:00,21:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4845984,127.2584531,460.카페이노스 세종본점.jpg,https://place.map.kakao.com/1140803361
파파노나마비루,영업시간 월~토 17:00 ~ 03:00,휴무일 일요일,세종특별자치시 나성로 133-9 (우)30128,044-867-8686 대표번호,주점업,일본식주점,0,34,시설 정보 없음,"새우깡: 14000
조미 노가리와 땅콩: 13000
염통꼬치: 10000
조미감자튀김: 13000
치즈떡볶이: 11000",17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4905714,127.2581733,461.파파노나마비루.jpg,https://place.map.kakao.com/1139699591
이디야커피 세종시광장점,영업시간 월~금 08:00 ~ 22:00 주말 09:00 ~ 22:00,휴무일 정보 없음,세종특별자치시 국세청로 32 마크원애비뉴 1층 B106 B107A B107B호 (우)30128,연락처 정보 없음,카페,이디야커피,4.3,4,WIFI,"(L)HOT 카페 아메리카노: 3200
(L)ICED 카페 아메리카노: 3200
(EX)HOT 카페 아메리카노: 4200
(EX)ICED 카페 아메리카노: 4200
(L)HOT 연유 카페 라떼: 4500",8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,9:00,22:00,정보 없음,정보 없음,정보 없음,9:00,22:00,정보 없음,정보 없음,정보 없음,포장가능,36.4866244,127.2617293,462.이디야커피 세종시광장점.jpg,https://place.map.kakao.com/380273151
빽다방 세종어반아트리움점,영업시간 월~토 08:00 ~ 21:30 일 09:00 ~ 21:30,연중무휴,세종특별자치시 나성북로 30 퍼스트원 105호 (우)30128,044-865-8099 대표번호,카페,빽다방,4.9,0,WIFI,"아메리카노(HOT): 1800
아메리카노(ICED): 2300
카페라떼(HOT): 3500
카페라떼(ICED): 3500
원조커피(HOT): 3000",8:00,21:30,정보 없음,정보 없음,정보 없음,8:00,21:30,정보 없음,정보 없음,정보 없음,8:00,21:30,정보 없음,정보 없음,정보 없음,8:00,21:30,정보 없음,정보 없음,정보 없음,8:00,21:30,정보 없음,정보 없음,정보 없음,8:00,21:30,정보 없음,정보 없음,정보 없음,9:00,21:30,정보 없음,정보 없음,정보 없음,"#카카오페이
예약가능 배달가능 포장가능",36.4901712,127.2594252,463.빽다방 세종어반아트리움점.jpg,https://place.map.kakao.com/1705544136
굿시즌,영업시간 화~금 10:30 ~ 20:00 토 11:00 ~ 20:00 일 11:00 ~ 15:00 화~금 휴게시간 15:00 ~ 18:00 토 휴게시간 15:30 ~ 18:00,2024년 9월 17일 화 11:00 ~ 15:00,세종특별자치시 나성북로 30 어반아트리움 퍼스트원 A동 301호 (우)30128,044-863-3013 대표번호,양식,양식,4.3,66,시설 정보 없음,"good season meal: 16000
white chicken & baguette: 18000
ragu shouka & baguette: 19000
chop salad: 17000
jambon fromage: 15000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,10:30,20:00,정보 없음,15:00,18:00,10:30,20:00,정보 없음,15:00,18:00,10:30,20:00,정보 없음,15:00,18:00,10:30,20:00,정보 없음,15:00,18:00,11:00,20:00,정보 없음,15:30,18:00,11:00,15:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4901712,127.2594252,464.굿시즌.jpg,https://place.map.kakao.com/103261795
역전우동0410 세종어반아트리움점,영업시간 월화목~일 11:00 ~ 21:00,휴무일 수요일,세종특별자치시 나성로 96 더센트럴 1층 130호 (우)30128,044-866-0280 대표번호,분식,역전우동0410,4.8,7,WIFI 동물출입금지 주차,"역전돈까스: 8500
매콤제육덮밥: 6500
더블치즈돈까스: 9000
얼큰파닭국수: 6500
우볶이: 5500",11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,예약가능 배달불가 포장가능,36.4868639,127.2602904,465.역전우동0410 세종어반아트리움점.jpg,https://place.map.kakao.com/669441583
얌샘김밥플러스 세종나성점,영업시간 월~토 10:00 ~ 21:00 월~토 휴게시간 15:00 ~ 16:00,휴무일 일요일,세종특별자치시 한누리대로 287 1층 103호 (우)30127,044-865-9777 대표번호,분식,얌샘김밥,3,16,시설 정보 없음,"얌샘김밥: 4800
참치샐러드김밥: 5300
떡볶이: 5000
돈까스김밥: 5800
진미오징어채김밥: 5300",10:00,21:00,정보 없음,15:00,16:00,10:00,21:00,정보 없음,15:00,16:00,10:00,21:00,정보 없음,15:00,16:00,10:00,21:00,정보 없음,15:00,16:00,10:00,21:00,정보 없음,15:00,16:00,10:00,21:00,정보 없음,15:00,16:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,#혼밥 #카카오페이 #제로페이,36.48979,127.2561256,466.얌샘김밥플러스 세종나성점.jpg,https://place.map.kakao.com/511847855
초코랩,영업시간 화~일 10:00 ~ 22:00,휴무일 월요일,세종특별자치시 한누리대로 331 SR파크센텀 101-1호 (우)30123,044-868-3260 대표번호,제과점/카페,디저트카페,5,18,주차,"아메리카노: 3000
크루키: 5300
발로 생초콜릿 라떼 캔: 6500
소금 커피: 5300
아메리칸 쿠키: 4000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,10:00,22:00,정보 없음,정보 없음,정보 없음,10:00,22:00,정보 없음,정보 없음,정보 없음,10:00,22:00,정보 없음,정보 없음,정보 없음,10:00,22:00,정보 없음,정보 없음,정보 없음,10:00,22:00,정보 없음,정보 없음,정보 없음,10:00,22:00,정보 없음,정보 없음,정보 없음,#수제초콜릿 #카카오페이 #제로페이,36.4938094,127.2558044,467.초코랩.jpg,https://place.map.kakao.com/229078885
부라보쪽갈비 세종나성점,영업시간 월~목일 16:00 ~ 01:00 금토 16:00 ~ 03:00 월~목일 라스트오더 ~ 00:30 금토 라스트오더 ~ 02:30,휴무일 정보 없음,세종특별자치시 나성북1로 12 (우)30128,연락처 정보 없음,한식,한식,0,34,시설 정보 없음,"순정쪽갈비: 16000
열정쪽갈비: 16000
간장양념쪽갈비: 16000
바베큐쪽갈비: 16000
김치찌개: 15000",16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,16:00,3:00,2:30,정보 없음,정보 없음,16:00,3:00,2:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,정보 없음,36.4909896,127.2576193,468.부라보쪽갈비 세종나성점.jpg,https://place.map.kakao.com/1742174893
냉면쟁이고기꾼 나성점,영업시간 수~일 11:00 ~ 20:50 수~일 휴게시간 15:00 ~ 17:00,휴무일 월화요일,세종특별자치시 한누리대로 311 모닝시티2차 2층 214호 (우)30123,070-8648-1370 대표번호,분식/한식,냉면쟁이고기꾼,0,1,시설 정보 없음,"물냉면: 9000
비빔냉면: 9000
연탄불고기(150g): 8000
갈비만두(5p): 3500
육수추가: 1000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,20:50,정보 없음,15:00,17:00,11:00,20:50,정보 없음,15:00,17:00,11:00,20:50,정보 없음,15:00,17:00,11:00,20:50,정보 없음,15:00,17:00,11:00,20:50,정보 없음,15:00,17:00,배달가능,36.4919577,127.255774,469.냉면쟁이고기꾼 나성점.jpeg,https://place.map.kakao.com/965300274
반지하 나성점,영업시간 매일 16:00 ~ 01:00 매일 라스트오더 ~ 00:30,휴무일 정보 없음,세종특별자치시 나성북로 9 메가타워1 110~111호 (우)30128,0502-5550-4663 대표번호,한식,육류고기,0,64,시설 정보 없음,"도야지한근 (600g): 45000
숙성삼겹 (200g): 15000
꼬들목살 (200g): 15000
항정살 (200g): 16000
양념꼬리 (200g): 12000",16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,16:00,1:00,0:30,정보 없음,정보 없음,정보 없음,36.4896498,127.2578632,470.반지하 나성점.jpg,https://place.map.kakao.com/1408707677
배치,영업시간 월~목 18:00 ~ 01:00 금토 18:00 ~ 02:30,휴무일 정보 없음,세종특별자치시 한누리대로 273 112호 (우)30127,연락처 정보 없음,주점업,칵테일바,3.7,4,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"치즈 플레이트: 15000
살라미 플레이트: 15000
프로슈토&멜론: 16000
하몽(이베리코 데 베요따): 22000
싱글몰트 위스키: 9000",18:00,1:00,정보 없음,정보 없음,정보 없음,18:00,1:00,정보 없음,정보 없음,정보 없음,18:00,1:00,정보 없음,정보 없음,정보 없음,18:00,1:00,정보 없음,정보 없음,정보 없음,18:00,2:30,정보 없음,정보 없음,정보 없음,18:00,2:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,예약가능 배달불가 포장불가,36.4884829,127.2564969,471.배치.jpg,https://place.map.kakao.com/853569948
베스트웨스턴플러스호텔 더세종,영업시간 월~금일 07:00 ~ 14:30 토 07:00 ~ 21:00 매일 휴게시간 10:00 ~ 11:30,휴무일 정보 없음,세종특별자치시 도움1로 7 4층 (우)30116,0507-1461-3318 대표번호,한식/중식/일식/양식/아시안(기타외국식),뷔페,2.5,44,주차,"런치(성인): 27500
런치(어린이): 13500
디너(성인): 55000
디너(어린이): 27500",7:00,14:30,정보 없음,10:00,11:30,7:00,14:30,정보 없음,10:00,11:30,7:00,14:30,정보 없음,10:00,11:30,7:00,14:30,정보 없음,10:00,11:30,7:00,14:30,정보 없음,10:00,11:30,7:00,21:00,정보 없음,10:00,11:30,7:00,14:30,정보 없음,10:00,11:30,"#안심식당 #돌잔치 #친목모임 #회식장소
예약가능",36.5002545,127.2584363,472.베스트웨스턴플러스호텔 더세종.jpg,https://place.map.kakao.com/1946386747
올리부스,영업시간 월~금 10:30 ~ 20:00 주말 11:00 ~ 20:00 월~금 휴게시간 14:30 ~ 17:00 주말 휴게시간 15:00 ~ 17:00,휴무일 정보 없음,세종특별자치시 가름로 232 세종비즈니스센터 B동 1층 B113호 (우)30121,010-6251-4624 대표번호,양식,이탈리안,4.3,139,WIFI 주차,"까르보나라: 11900
투움바페투치니: 16900
라자냐: 16900
단호박뇨끼: 18900
봉골레: 17900",10:30,20:00,정보 없음,14:30,17:00,10:30,20:00,정보 없음,14:30,17:00,10:30,20:00,정보 없음,14:30,17:00,10:30,20:00,정보 없음,14:30,17:00,10:30,20:00,정보 없음,14:30,17:00,11:00,20:00,정보 없음,15:00,17:00,11:00,20:00,정보 없음,15:00,17:00,"#안심식당 #소개팅 #이태리가정식 #카카오페이 #제로페이
예약가능 배달가능 포장가능",36.4956693,127.2651533,473.올리부스.jpg,https://place.map.kakao.com/764827291
서울관,영업시간 월~토 11:30 ~ 22:00 월~토 휴게시간 15:00 ~ 17:00,휴무일 일요일,세종특별자치시 도움8로 91 세종마치 305호 (우)30107,044-863-7222 대표번호,한식,한식,3.8,13,주차,"차돌된장찌개: 12000
차돌박이정식: 29000
만두샤브정식 세트(2인): 54000
한우등심샤브: 25000
만두샤브: 19000",11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,11:30,22:00,정보 없음,15:00,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,예약가능 포장가능,36.5040516,127.271756,474.서울관.jpg,https://place.map.kakao.com/1234680787
바 갤러리,영업시간 월~토 18:30 ~ 01:00,휴무일 일요일,세종특별자치시 나성로 125-4 NS타워2 1층 111호 (우)30128,044-862-0492 대표번호,주점업,칵테일바,0,2,시설 정보 없음,"나성의밤(칵테일): 18000
유자차차(칵테일): 18000
레드와인: 39000
치즈카나페: 25000
카프라제: 30000",18:30,1:00,정보 없음,정보 없음,정보 없음,18:30,1:00,정보 없음,정보 없음,정보 없음,18:30,1:00,정보 없음,정보 없음,정보 없음,18:30,1:00,정보 없음,정보 없음,정보 없음,18:30,1:00,정보 없음,정보 없음,정보 없음,18:30,1:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,#데이트코스 #분위기좋은 #소개팅 #제로페이,36.4902421,127.2588579,475.바 갤러리.jpg,https://place.map.kakao.com/1171263181
